title,content
Evening.  To Harriet,"                        O thou bright Sun! beneath the dark blue lineOf western distance that sublime descendest,And, gleaming lovelier as thy beams decline,Thy million hues to every vapour lendest,And, over cobweb lawn and grove and stream Sheddest the liquid magic of thy light,Till calm Earth, with the parting splendour bright,Shows like the vision of a beauteous dream;What gazer now with astronomic eyeCould coldly count the spots within thy sphere?Such were thy lover, Harriet, could he flyThe thoughts of all that makes his passion dear,And, turning senseless from thy warm caress,--Pick flaws in our close-woven happiness.                                             "
Letter To Maria Gisborne,"                        The spider spreads her webs, whether she beIn poet's tower, cellar, or barn, or tree;The silk-worm in the dark green mulberry leavesHis winding sheet and cradle ever weaves;So I, a thing whom moralists call worm,Sit spinning still round this decaying form,From the fine threads of rare and subtle thought-No net of words in garish colours wroughtTo catch the idle buzzers of the day-But a soft cell, where when that fades away,Memory may clothe in wings my living nameAnd feed it with the asphodels of fame,Which in those hearts which must remember meGrow, making love an immortality.Whoever should behold me now, I wist,Would think I were a mighty mechanist,Bent with sublime Archimedean artTo breathe a soul into the iron heartOf some machine portentous, or strange gin,Which by the force of figured spells might winIts way over the sea, and sport therein;For round the walls are hung dread engines, suchAs Vulcan never wrought for Jove to clutchIxion or the Titan:-or the quickWit of that man of God, St. Dominic,To convince Atheist, Turk, or Heretic,Or those in philanthropic council met,Who thought to pay some interest for the debtThey owed to Jesus Christ for their salvation,By giving a faint foretaste of damnationTo Shakespeare, Sidney, Spenser, and the restWho made our land an island of the blest,When lamp-like Spain, who now relumes her fireOn Freedom's hearth, grew dim with Empire:-With thumbscrews, wheels, with tooth and spike and jag,Which fishers found under the utmost cragOf Cornwall and the storm-encompassed isles,Where to the sky the rude sea rarely smilesUnless in treacherous wrath, as on the mornWhen the exulting elements in scorn,Satiated with destroyed destruction, laySleeping in beauty on their mangled prey,As panthers sleep;-and other strange and dreadMagical forms the brick floor overspread,-Proteus transformed to metal did not makeMore figures, or more strange; nor did he takeSuch shapes of unintelligible brass,Or heap himself in such a horrid massOf tin and iron not to be understood;And forms of unimaginable wood,To puzzle Tubal Cain and all his brood:Great screws, and cones, and wheels, and groovèd blocks,The elements of what will stand the shocksOf wave and wind and time.-Upon the tableMore knacks and quips there be than I am ableTo catalogize in this verse of mine:-A pretty bowl of wood-not full of wine,But quicksilver; that dew which the gnomes drinkWhen at their subterranean toil they swink,Pledging the demons of the earthquake, whoReply to them in lava-cry halloo!And call out to the cities o'er their head,-Roofs, towers, and shrines, the dying and the dead,Crash through the chinks of earth-and then all quaffAnother rouse, and hold their sides and laugh.This quicksilver no gnome has drunk-withinThe walnut bowl it lies, veinèd and thin,In colour like the wake of light that stainsThe Tuscan deep, when from the moist moon rainsThe inmost shower of its white fire-the breezeIs still-blue Heaven smiles over the pale seas.And in this bowl of quicksilver-for IYield to the impulse of an infancyOutlasting manhood-I have made to floatA rude idealism of a paper boat:-A hollow screw with cogs-Henry will knowThe thing I mean and laugh at me,-if soHe fears not I should do more mischief.-NextLie bills and calculations much perplexed,With steam-boats, frigates, and machinery quaintTraced over them in blue and yellow paint.Then comes a range of mathematicalInstruments, for plans nautical and statical;A heap of rosin, a queer broken glassWith ink in it;-a china cup that wasWhat it will never be again, I think,-A thing from which sweet lips were wont to drinkThe liquor doctors rail at-and which IWill quaff in spite of them-and when we dieWe'll toss up who died first of drinking tea,And cry out,-'Heads or tails?' where'er we be.Near that a dusty paint-box, some odd hooks,A half-burnt match, an ivory block, three books,Where conic sections, spherics, logarithms,To great Laplace, from Saunderson and Sims,Lie heaped in their harmonious disarrayOf figures,-disentangle them who may.Baron de Tott's Memoirs beside them lie,And some odd volumes of old chemistry.Near those a most inexplicable thing,With lead in the middle-I'm conjecturingHow to make Henry understand; but no-I'll leave, as Spenser says, with many mo,This secret in the pregnant womb of time,Too vast a matter for so weak a rhyme.And here like some weird Archimage sit I,Plotting dark spells, and devilish enginery,The self-impelling steam-wheels of the mindWhich pump up oaths from clergymen, and grindThe gentle spirit of our meek reviewsInto a powdery foam of salt abuse,Ruffling the ocean of their self-content;-I sit-and smile or sigh as is my bent,But not for them-Libeccio rushes roundWith an inconstant and an idle sound,I heed him more than them-the thunder-smokeIs gathering on the mountains, like a cloakFolded athwart their shoulders broad and bare;The ripe corn under the undulating airUndulates like an ocean;-and the vinesAre trembling wide in all their trellised lines-The murmur of the awakening sea doth fillThe empty pauses of the blast;-the hillLooks hoary through the white electric rain,And from the glens beyond, in sullen strain,The interrupted thunder howls; aboveOne chasm of Heaven smiles, like the eye of LoveOn the unquiet world;-while such things are,How could one worth your friendship heed the warOf worms? the shriek of the world's carrion jays,Their censure, or their wonder, or their praise?You are not here! the quaint witch Memory sees,In vacant chairs, your absent images,And points where once you sat, and now should beBut are not.-I demand if ever weShall meet as then we met;-and she replies,Veiling in awe her second-sighted eyes;'I know the past alone-but summon homeMy sister Hope,-she speaks of all to come.'But I, an old diviner, who knew wellEvery false verse of that sweet oracle,Turned to the sad enchantress once again,And sought a respite from my gentle pain,In citing every passage o'er and o'erOf our communion-how on the sea-shoreWe watched the ocean and the sky together,Under the roof of blue Italian weather;How I ran home through last year's thunder-storm,And felt the transverse lightning linger warmUpon my cheek-and how we often madeFeasts for each other, where good will outweighedThe frugal luxury of our country cheer,As well it might, were it less firm and clearThan ours must ever be;-and how we spunA shroud of talk to hide us from the sunOf this familiar life, which seems to beBut is not:-or is but quaint mockeryOf all we would believe, and sadly blameThe jarring and inexplicable frameOf this wrong world:-and then anatomizeThe purposes and thoughts of men whose eyesWere closed in distant years;-or widely guessThe issue of the earth's great business,When we shall be as we no longer are-Like babbling gossips safe, who hear the warOf winds, and sigh, but tremble not;-or howYou listened to some interrupted flowOf visionary rhyme,-in joy and painStruck from the inmost fountains of my brain,With little skill perhaps;-or how we soughtThose deepest wells of passion or of thoughtWrought by wise poets in the waste of years,Staining their sacred waters with our tears;Quenching a thirst ever to be renewed!Or how I, wisest lady! then enduedThe language of a land which now is free,And, winged with thoughts of truth and majesty,Flits round the tyrant's sceptre like a cloud,And bursts the peopled prisons, and cries aloud,'My name is Legion!'-that majestic tongueWhich Calderon over the desert flungOf ages and of nations; and which foundAn echo in our hearts, and with the soundStartled oblivion;-thou wert then to meAs is a nurse-when inarticulatelyA child would talk as its grown parents do.If living winds the rapid clouds pursue,If hawks chase doves through the aethereal way,Huntsmen the innocent deer, and beasts their prey,Why should not we rouse with the spirit's blastOut of the forest of the pathless pastThese recollected pleasures?You are nowIn London, that great sea, whose ebb and flowAt once is deaf and loud, and on the shoreVomits its wrecks, and still howls on for more.Yet in its depth what treasures! You will seeThat which was Godwin,-greater none than heThough fallen-and fallen on evil times-to standAmong the spirits of our age and land,Before the dread tribunal of to come The foremost,-while Rebuke cowers pale and dumb.You will see Coleridge-he who sits obscureIn the exceeding lustre and the pureIntense irradiation of a mind,Which, with its own internal lightning blind,Flags wearily through darkness and despair-A cloud-encircled meteor of the air,A hooded eagle among blinking owls.-You will see Hunt-one of those happy soulsWhich are the salt of the earth, and without whomThis world would smell like what it is-a tomb;Who is, what others seem; his room no doubtIs still adorned with many a cast from Shout,With graceful flowers tastefully placed about;And coronals of bay from ribbons hung,And brighter wreaths in neat disorder flung;The gifts of the most learned among some dozensOf female friends, sisters-in-law, and cousins.And there is he with his eternal puns,Which beat the dullest brain for smiles, like dunsThundering for money at a poet's door;Alas! it is no use to say, 'I'm poor!'Or oft in graver mood, when he will lookThings wiser than were ever read in book,Except in Shakespeare's wisest tenderness.-You will see Hogg,-and I cannot expressHis virtues,-though I know that they are great,Because he locks, then barricades the gateWithin which they inhabit;-of his witAnd wisdom, you'll cry out when you are bit.He is a pearl within an oyster shell,One of the richest of the deep;-and thereIs English Peacock, with his mountain Fair,Turned into a Flamingo;-that shy birdThat gleams i' the Indian air-have you not heardWhen a man marries, dies, or turns Hindoo,His best friends hear no more of him?-but youWill see him, and will like him too, I hope,With the milk-white Snowdonian AntelopeMatched with this cameleopard-his fine witMakes such a wound, the knife is lost in it;A strain too learnèd for a shallow age,Too wise for selfish bigots; let his page,Which charms the chosen spirits of the time,Fold itself up for the serener climeOf years to come, and find its recompenseIn that just expectation.-Wit and sense,Virtue and human knowledge; all that mightMake this dull world a business of delight,Are all combined in Horace Smith.-And these,With some exceptions, which I need not teaseYour patience by descanting on,-are allYou and I know in London.I recallMy thoughts, and bid you look upon the night.As water does a sponge, so the moonlightFills the void, hollow, universal air-What see you?-unpavilioned Heaven is fair,Whether the moon, into her chamber gone,Leaves midnight to the golden stars, or wanClimbs with diminished beams the azure steep;Or whether clouds sail o'er the inverse deep,Piloted by the many-wandering blast,And the rare stars rush through them dim and fast:-All this is beautiful in every land.-But what see you beside?-a shabby standOf Hackney coaches-a brick house or wallFencing some lonely court, white with the scrawlOf our unhappy politics;-or worse-A wretched woman reeling by, whose curseMixed with the watchman's, partner of her trade,You must accept in place of serenade-Or yellow-haired Pollonia murmuringTo Henry, some unutterable thing.I see a chaos of green leaves and fruitBuilt round dark caverns, even to the rootOf the living stems that feed them-in whose bowersThere sleep in their dark dew the folded flowers;Beyond, the surface of the unsickled cornTrembles not in the slumbering air, and borneIn circles quaint, and ever-changing dance,Like wingèd stars the fire-flies flash and glance,Pale in the open moonshine, but each oneUnder the dark trees seems a little sun,A meteor tamed; a fixed star gone astrayFrom the silver regions of the milky way;-Afar the Contadino's song is heard,Rude, but made sweet by distance-and a birdWhich cannot be the Nightingale, and yetI know none else that sings so sweet as itAt this late hour;-and then all is still-Now-Italy or London, which you will!Next winter you must pass with me; I'll haveMy house by that time turned into a graveOf dead despondence and low-thoughted care,And all the dreams which our tormentors are;Oh! that Hunt, Hogg, Peacock, and Smith were there,With everything belonging to them fair!-We will have books, Spanish, Italian, Greek;And ask one week to make another weekAs like his father, as I'm unlike mine,Which is not his fault, as you may divine.Though we eat little flesh and drink no wine,Yet let's be merry: we'll have tea and toast;Custards for supper, and an endless hostOf syllabubs and jellies and mince-pies,And other such lady-like luxuries,-Feasting on which we will philosophize!And we'll have fires out of the Grand Duke's wood,To thaw the six weeks' winter in our blood.And then we'll talk;-what shall we talk about?Oh! there are themes enough for many a boutOf thought-entangled descant;-as to nerves-With cones and parallelograms and curvesI've sworn to strangle them if once they dareTo bother me-when you are with me there.And they shall never more sip laudanum,From Helicon or Himeros[1];-well, come,And in despite of God and of the devil,We'll make our friendly philosophic revelOutlast the leafless time; till buds and flowersWarn the obscure inevitable hours,Sweet meeting by sad parting to renew;-'To-morrow to fresh woods and pastures new.'                                             "
To The Nile,"                        Month after month the gathered rains descendDrenching yon secret Aethiopian dells,And from the desert’s ice-girt pinnaclesWhere Frost and Heat in strange embraces blendOn Atlas, fields of moist snow half depend.Girt there with blasts and meteors Tempest dwellsBy Nile’s aereal urn, with rapid spellsUrging those waters to their mighty end.O’er Egypt’s land of Memory floods are levelAnd they are thine, O Nile--and well thou knowestThat soul-sustaining airs and blasts of evilAnd fruits and poisons spring where’er thou flowest.Beware, O Man--for knowledge must to thee,Like the great flood to Egypt, ever be.                                             "
Saint Edmond's Eve,"                        Oh! did you observe the Black Canon pass,And did you observe his frown?He goeth to say the midnight mass,In holy St. Edmond's town.He goeth to sing the burial chaunt,And to lay the wandering sprite,Whose shadowy, restless form doth haunt,The Abbey's drear aisle this night.It saith it will not its wailing cease,'Till that holy man come near,'Till he pour o’er its grave the prayer of peace,And sprinkle the hallowed tear.The Canon's horse is stout and strongThe road is plain and fair,But the Canon slowly wends along,And his brow is gloomed with care.Who is it thus late at the Abbey-gate?Sullen echoes the portal bell,It sounds like the whispering voice of fate,It sounds like a funeral knell.The Canon his faltering knee thrice bowed,And his frame was convulsed with fear,When a voice was heard distinct and loud,'Prepare! for thy hour is near.'He crosses his breast, he mutters a prayer, To Heaven he lifts his eye,He heeds not the Abbot's gazing stare,Nor the dark Monks who murmured by.Bare-headed he worships the sculptured saintsThat frown on the sacred walls,His face it grows pale,--he trembles, he faints,At the Abbot’s feet he falls.And straight the father’s robe he kissed,Who cried, 'Grace dwells with thee,The spirit will fade like the morning mist, At your benedicite.'Now haste within! the board is spread,Keen blows the air, and cold,The spectre sleeps in its earthy bed,'Till St. Edmond’s bell hath tolled,--'Yet rest your wearied limbs to-night,You’ve journeyed many a mile,To-morrow lay the wailing sprite,That shrieks in the moonlight aisle.'Oh! faint are my limbs and my bosom is cold, Yet to-night must the sprite be laid,Yet to-night when the hour of horror's told,Must I meet the wandering shade.'Nor food, nor rest may now delay,--For hark! the echoing pile, A bell loud shakes!—Oh haste away,O lead to the haunted aisle.'The torches slowly move before,The cross is raised on high,A smile of peace the Canon wore,But horror dimmed his eye--And now they climb the footworn stair,The chapel gates unclose,Now each breathed low a fervent prayer,And fear each bosom froze--Now paused awhile the doubtful bandAnd viewed the solemn scene,--Full dark the clustered columns stand,The moon gleams pale between--'Say father, say, what cloisters' gloom Conceals the unquiet shade,Within what dark unhallowed tomb,The corse unblessed was laid.''Through yonder drear aisle alone it walks,And murmurs a mournful plaint, Of thee! Black Canon, it wildly talks,And call on thy patron saint--The pilgrim this night with wondering eyes,As he prayed at St. Edmond's shrine,From a black marble tomb hath seen it rise, And under yon arch recline.'--‘Oh! say upon that black marble tomb,What memorial sad appears.'--‘Undistinguished it lies in the chancel's gloom,No memorial sad it bears'--The Canon his paternoster reads,His rosary hung by his side,Now swift to the chancel doors he leads,And untouched they open wide,Resistless, strange sounds his steps impel,To approach to the black marble tomb,'Oh! enter, Black Canon,' a whisper fell,'Oh! enter, thy hour is come.'He paused, told his beads, and the threshold passed.Oh! horror, the chancel doors close, A loud yell was borne on the rising blast,And a deep, dying groan arose.The Monks in amazement shuddering stand,They burst through the chancel's gloom,From St. Edmond’s shrine, lo! a skeleton’s hand, Points to the black marble tomb.Lo! deeply engraved, an inscription blood red,In characters fresh and clear--'The guilty Black Canon of Elmham's dead,And his wife lies buried here!'In Elmham’s tower he wedded a Nun,To St. Edmond’s his bride he bore,On this eve her noviciate here was begun,And a Monk’s gray weeds she wore;--O! deep was her conscience dyed with guilt,Remorse she full oft revealed,Her blood by the ruthless Black Canon was spilt,And in death her lips he sealed;Her spirit to penance this night was doomed,'Till the Canon atoned the deed,Here together they now shall rest entombed,'Till their bodies from dust are freed--Hark! a loud peal of thunder shakes the roof,Round the altar bright lightnings play,Speechless with horror the Monks stand aloof, And the storm dies sudden away--The inscription was gone! a cross on the ground,And a rosary shone through the gloom,But never again was the Canon there found,Or the Ghost on the black marble tomb.                                             "
On An Icicle That Clung To The Grass Of A Grave,"                        I.Oh! take the pure gem to where southerly breezes,Waft repose to some bosom as faithful as fair,In which the warm current of love never freezes,As it rises unmingled with selfishness there,Which, untainted by pride, unpolluted by care,Might dissolve the dim icedrop, might bid it arise,Too pure for these regions, to gleam in the skies.II.Or where the stern warrior, his country defending,Dares fearless the dark-rolling battle to pour,Or o'er the fell corpse of a dread tyrant bending,Where patriotism red with his guilt-reeking gorePlants Liberty's flag on the slave-peopled shore,With victory's cry, with the shout of the free,Let it fly, taintless Spirit, to mingle with thee.III.For I found the pure gem, when the daybeam returning,Ineffectual gleams on the snow-covered plain,When to others the wished-for arrival of morningBrings relief to long visions of soul-racking pain;But regret is an insult—to grieve is in vain:And why should we grieve that a spirit so fair Seeks Heaven to mix with its own kindred there?IV.But still 'twas some Spirit of kindness descendingTo share in the load of mortality's woe,Who over thy lowly-built sepulchre bendingBade sympathy's tenderest teardrop to flow.Not for THEE soft compassion celestials did know,But if ANGELS can weep, sure MAN may repine,May weep in mute grief o'er thy low-laid shrine.V.And did I then say, for the altar of glory,That the earliest, the loveliest of flowers I'd entwine,Though with millions of blood-reeking victims 'twas gory,Though the tears of the widow polluted its shrine,Though around it the orphans, the fatherless pine?Oh! Fame, all thy glories I'd yield for a tearTo shed on the grave of a heart so sincere.                                             "
On Robert Emmet's Grave,"                        VI.No trump tells thy virtues—the grave where they restWith thy dust shall remain unpolluted by fame,Till thy foes, by the world and by fortune caressed,Shall pass like a mist from the light of thy name.VII.When the storm-cloud that lowers o'er the day-beam is gone,Unchanged, unextinguished its life-spring will shine;When Erin has ceased with their memory to groan,She will smile through the tears of revival on thine.                                             "
Fragment: The Vine-Shroud,"                        Flourishing vine, whose kindling clusters glowBeneath the autumnal sun, none taste of thee;For thou dost shroud a ruin, and belowThe rotting bones of dead antiquity.                                             "
Fragment: There Is A Warm And Gentle Atmosphere,"                        There is a warm and gentle atmosphereAbout the form of one we love, and thusAs in a tender mist our spirits areWrapped in the of that which is to usThe health of life’s own life--                                             "
Lines Written During The Castlereagh Administration,"                        I.Corpses are cold in the tomb;Stones on the pavement are dumb;Abortions are dead in the womb,And their mothers look pale—like the death-white shoreOf Albion, free no more.II.Her sons are as stones in the way--They are masses of senseless clay--They are trodden, and move not away,--The abortion with which SHE travailethIs Liberty, smitten to death. III.Then trample and dance, thou Oppressor!For thy victim is no redresser;Thou art sole lord and possessorOf her corpses, and clods, and abortions—they paveThy path to the grave. IV.Hearest thou the festival dinOf Death, and Destruction, and Sin,And Wealth crying 'Havoc!' within?’Tis the bacchanal triumph that makes Truth dumb,Thine Epithalamium.V.Ay, marry thy ghastly wife!Let Fear and Disquiet and StrifeSpread thy couch in the chamber of Life!Marry Ruin, thou Tyrant! and Hell be thy guideTo the bed of the bride!                                             "
Fragment: Wedded Souls,"                        I am as a spirit who has dweltWithin his heart of hearts, and I have feltHis feelings, and have thought his thoughts, and knownThe inmost converse of his soul, the toneUnheard but in the silence of his blood, When all the pulses in their multitudeImage the trembling calm of summer seas.I have unlocked the golden melodiesOf his deep soul, as with a master-key,And loosened them and bathed myself therein--Even as an eagle in a thunder-mistClothing his wings with lightning.                                             "
Sonnet: England In 1819,"                        An old, mad, blind, despised, and dying king,--Princes, the dregs of their dull race, who flowThrough public scorn,--mud from a muddy spring,--Rulers who neither see, nor feel, nor know,But leech-like to their fainting country cling,Till they drop, blind in blood, without a blow,--A people starved and stabbed in the untilled field,--An army, which liberticide and preyMakes as a two-edged sword to all who wield,--Golden and sanguine laws which tempt and slay;Religion Christless, Godless—a book sealed;A Senate,--Time’s worst statute, unrepealed,--Are graves from which a glorious Phantom mayBurst, to illumine our tempestuous day.                                             "
Fragment: The Lake's Margin,"                        The fierce beasts of the woods and wildernessesTrack not the steps of him who drinks of it;For the light breezes, which for ever fleetAround its margin, heap the sand thereon.                                             "
Song. -- Fierce Roars The Midnight Storm,"                        Fierce roars the midnight stormO'er the wild mountain,Dark clouds the night deform,Swift rolls the fountain--See! o'er yon rocky height, Dim mists are flying--See by the moon’s pale light,Poor Laura's dying!Shame and remorse shall howl,By her false pillow--Fiercer than storms that roll,O'er the white billow;No hand her eyes to close,When life is flying,But she will find repose, For Laura’s dying!Then will I seek my love,Then will I cheer her,Then my esteem will prove,When no friend is near her. On her grave I will lie,When life is parted,On her grave I will die,For the false hearted.DECEMBER, 1809.                                             "
I Would Not Be A King,"                        I would not be a king--enoughOf woe it is to love;The path to power is steep and rough,And tempests reign above.I would not climb the imperial throne; ’Tis built on ice which fortune’s sunThaws in the height of noon.Then farewell, king, yet were I one,Care would not come so soon.Would he and I were far away Keeping flocks on Himalay!                                             "
Fragment: To Byron,"                        O mighty mind, in whose deep stream this ageShakes like a reed in the unheeding storm,Why dost thou curb not thine own sacred rage?                                             "
Rome And Nature,"                        Rome has fallen, ye see it lyingHeaped in undistinguished ruin:Nature is alone undying.                                             "
May The Limner,                        When May is painting with her colours gayThe landscape sketched by April her sweet twin...                                             
Wine Of The Fairies,"                        I am drunk with the honey wineOf the moon-unfolded eglantine,Which fairies catch in hyacinth bowls.The bats, the dormice, and the molesSleep in the walls or under the sward Of the desolate castle yard;And when ’tis spilt on the summer earthOr its fumes arise among the dew,Their jocund dreams are full of mirth,They gibber their joy in sleep; for few Of the fairies bear those bowls so new!                                             "
Song For 'Tasso',"                        I.I loved—alas! our life is love;But when we cease to breathe and moveI do suppose love ceases too.I thought, but not as now I do,Keen thoughts and bright of linked lore,Of all that men had thought before.And all that Nature shows, and more.II.And still I love and still I think,But strangely, for my heart can drinkThe dregs of such despair, and live,And love;...And if I think, my thoughts come fast,I mix the present with the past,And each seems uglier than the last.III.Sometimes I see before me flee 15A silver spirit’s form, like thee,O Leonora, and I sit...still watching it,Till by the grated casement’s ledgeIt fades, with such a sigh, as sedge Breathes o’er the breezy streamlet’s edge.                                             "
